Id,pcode,rate
id,NOW-01841,4
id,NWY-15685,4
id,DRB-00373,5
id,CGN-01097,3
id,MSC-71049,5
id,MSF-71702,5
id,NOW-00474,5
id,NTL-05396,5
id,DRB-00263,3
id,CGN-00965,5
id,NOW-04777,5
id,NOW-00077,5
1a,CGN-01065,3
1a,CGN-00965,4
1a,NOW-00376,2
1a,SRE-01050,1
1a,DRB-00087,3
1a,JRW-13008,5
1a,MLI-00952,5
1a,SOL-01442,4
1a,CDL-10200,3
1a,LEX-23141,1
2a,CGN-01330,2
2a,CGN-00964,3
2a,NWY-41091,3
2a,DRB-00087,5
2a,SOL-02058,4
2a,JRW-13008,3
2a,LEX-23141,3
2a,SRE-01050,4
3a,CGN-01065,2
3a,CGN-01032,4
3a,NWY-41091,4
3a,NTL-05396,5
3a,DRB-00087,5
3a,DRB-00025,3
3a,SOL-02058,2
3a,JRW-13008,1
3a,LEX-23141,5
4a,CGN-01034,3
4a,CGN-01330,5
4a,CGN-00931,4
4a,MLI-00952,2
5a,JRW-13008,4
5a,LEX-23141,4
5a,CDL-10200,3
5a,SOL-01442,2
5a,CEN-28024,5
5a,NOW-00372,3
6a,CGN-00931,3
6a,CGN-00963,3
6a,NWY-41091,5
6a,DRB-00025,1
7a,JRW-13008,1
7a,LEX-23141,3
7a,CGN-01034,3
7a,CGN-01330,5
7a,CGN-00931,4
7a,MLI-00952,2
7a,CGN-00963,5
7a,CEN-28024,3
7a,CGN-00932,2
7a,CGN-00964,1
7a,BLB-00683,3
7a,CGN-01032,3
8a,CGN-00931,4
8a,NWY-41091,4
8a,CDL-10200,4
8a,NOW-00372,1
8a,MLI-00952,3
8a,JRW-13008,5
8a,CGN-01034,3
8a,NOW-00376,2
9a,CGN-01330,3
9a,CGN-00932,3
9a,CGN-01033,4
9a,DRB-00087,4
9a,BLB-00683,3
9a,LEX-23141,5
10a,MLI-00952,3
10a,JRW-13008,3
10a,CGN-01034,3
10a,NOW-00376,4
10a,DRB-00025,5
10a,NTL-05396,3
11a,CGN-01065,3
11a,CGN-00931,4
11a,NWY-41091,4
11a,CDL-10200,5
12a,JRW-13008,3
12a,CGN-01034,3
12a,NOW-00376,4
12a,DRB-00025,5
12a,NTL-05396,3
12a,CGN-00963,3
12a,CGN-01330,1
12a,CGN-00932,1
13a,BLB-00683,4
13a,CGN-01033,4
13a,CGN-01032,4
13a,CGN-01065,3
13a,CGN-00931,3
13a,NTL-05396,4
13a,CGN-00932,5
13a,CGN-00964,4
14a,CEN-28024,3
14a,NWY-41091,2
14a,CDL-10200,1
14a,NOW-00372,1
14a,MLI-00952,5
14a,JRW-13008,2
15a,NTL-05396,3
15a,CGN-00932,3
15a,CGN-00964,1
15a,CGN-00965,2
15a,CGN-00963,3
15a,SOL-02058,5
15a,SRE-01050,3
16a,NOW-00372,3
16a,MLI-00952,3
16a,JRW-13008,5
16a,CGN-01034,4
16a,NOW-00376,4
16a,DRB-00025,3
16a,NTL-05396,3
16a,CGN-00963,3
16a,CGN-01330,4
16a,CGN-00932,5
16a,CGN-01033,2
16a,DRB-00087,1
17a,CGN-00963,3
17a,CGN-01330,3
17a,CGN-00932,4
17a,CGN-01033,5
17a,DRB-00087,4
17a,BLB-00683,4
17a,LEX-23141,1
17a,CGN-00965,3
17a,SOL-01442,5
17a,SOL-02058,4
17a,CGN-01032,2
17a,SRE-01050,2
